"","G","A","RepoUrl","Dataset","Cloned","LastCommitDate","Commits","Branches","Tags","Committers","CommitID","RootPOM","Compile","Test1","Tests","Test2"
"140","kaazing","gateway","https://github.com/kaazing/gateway.client.ios.common.git","test","true","FriMay2914:38:112015-0700",38,1,3,9,"5a9b28e7fb714d68584f6456bcc1f65e4fe622f7","true","true","true",0,"true"
"141","kaazing","gateway","https://github.com/kaazing/gateway.client.java.internal.git","test","true","WedMay2015:14:332015-0700",103,1,10,13,"eef87ded0745a5be475b74f8ea69f50d3472605c","true","true","true",179,"true"
"142","KengoTODA","guava-helper-for-java-8","https://github.com/KengoTODA/guava-helper-for-java-8.git","test","true","ThuNov705:04:492019+0800",152,1,9,5,"2e6cef047439f929a562a8fcaa61fd67b182c981","true","true","true",27,"true"
"143","kermitt2","grobid","https://github.com/kermitt2/grobid.git","test","true","ThuDec510:43:322019+0100",1973,1,21,55,"215c3357799aa99b9059f4afb378e242b7360ff5","true","true","false",NA,NA
"144","kermitt2","grobid","https://github.com/kermitt2/grobid.git","test","true","ThuDec510:43:322019+0100",1973,1,21,55,"215c3357799aa99b9059f4afb378e242b7360ff5","true","true","false",NA,NA
"145","kmi","sws-test-collections","https://github.com/kmi/sws-test-collections.git","test","true","WedNov1216:45:282014+0000",22,1,2,1,"00edfda5b5bf0c320e259bf532bcd6bebcd0449b","true","true","true",0,"true"
"146","kubernetes-client","java","https://github.com/kubernetes-client/java.git","test","true","TueDec1015:50:062019-0800",743,1,18,76,"d94b271a7dc9636d1b5d930b047b94273b58aa83","true","true","true",0,"true"
"147","lifs-tools","jmztab-m","https://github.com/lifs-tools/jmztab-m.git","test","true","WedSep1120:08:072019+0200",273,1,10,5,"3bb1ad5adfe40abf7ef69be02292caf224551034","true","true","true",0,"true"
"148","llorllale","youtrack-api","https://github.com/llorllale/youtrack-api.git","test","true","WedDec1910:52:052018-0400",332,1,7,4,"f4f4f10737c7a83d005386e6ee0f8fa0d1361acf","true","true","true",133,"true"
"149","making","shared-mysql-service-broker","https://github.com/making/shared-mysql-service-broker.git","test","true","ThuSep2004:26:112018+0000",57,1,5,4,"914af25ff7f18b8633c60714dd8f106a87cbb152","true","true","false",NA,NA
"150","manorrock","calico","https://github.com/manorrock/calico.git","test","true","MonOct2116:25:292019-0600",67,1,10,2,"e40c26e5486cc416228a045e0c778028f3b60d78","true","true","true",4,"true"
"151","manywho","service-archetype","https://github.com/manywho/service-archetype.git","test","true","FriSep2111:59:372018+0100",20,1,1,2,"5026b4f406ce3c2c9da2670edac696bfa2bdb0f1","true","true","true",0,"true"
"152","manywho","service-archetype","https://github.com/manywho/service-archetype.git","test","true","FriSep2111:59:372018+0100",20,1,1,2,"5026b4f406ce3c2c9da2670edac696bfa2bdb0f1","true","true","true",0,"true"
"153","meertensinstituut","mtas","https://github.com/meertensinstituut/mtas.git","test","true","FriSep2817:24:022018+0200",632,1,51,7,"33b123da93e52846de65aff51a3cb6d66ed80bf5","true","true","true",0,"true"
"154","membrane","service-proxy","https://github.com/membrane/service-proxy.git","test","true","MonDec909:18:042019+0100",2876,1,50,39,"b8e9627383d43fdf89cea90dc9d599c6fe8e2fcb","true","true","false",NA,NA
"155","Mercateo","factcast-rest-jersey","https://github.com/Mercateo/factcast-rest-jersey.git","test","true","ThuOct2521:58:202018+0200",20,1,3,3,"506f22d733bbbd2a36d25ce77266b4811764cb1c","true","true","true",0,"true"
"156","minijax","minijax","https://github.com/minijax/minijax.git","test","true","FriNov2213:43:492019-0800",645,1,73,2,"6321444ec47dba93a837ea335fd6423760794c9a","true","true","false",NA,NA
"157","monowai","flockdata","https://github.com/monowai/flockdata.org.git","test","true","SunJul2821:42:492019+0700",5055,1,9,16,"a88905e808a22a2c10d4aba839b6dc9e95a0758a","true","true","false",NA,NA
"158","mwiede","metrics-feign","https://github.com/mwiede/metrics-feign.git","test","true","WedJun513:09:312019+0000",37,1,3,5,"24965b02eedcf9d8faf38edcf4ceaab6fd83276f","true","true","true",19,"true"
"159","myunusov","maxur-base","https://github.com/myunusov/maxur-base.git","test","true","SatJul816:22:502017+0600",200,1,3,7,"ad0296cf07f85f2bc0b6872e17a20f103d39db6c","true","true","true",0,"true"
"160","neatlife","jframework","https://github.com/neatlife/jframework.git","test","true","SatJul2718:24:352019+0800",117,1,9,4,"5ae271c730c334f752867f812ea14f243073248f","true","true","false",NA,NA
"161","nielsbasjes","prefixmap","https://github.com/nielsbasjes/prefixmap.git","test","true","FriMay1008:29:492019+0200",29,1,2,1,"3c5dafb56e77d5bc97d9578b6089ed285990b8b9","true","true","true",32,"true"
"162","nielsbasjes","yauaa","https://github.com/nielsbasjes/yauaa.git","test","true","WedDec1116:09:392019+0000",1656,1,49,12,"b65efacc648d51c62eb4b1a4989cb5f719f87f42","true","true","false",NA,NA
"163","nirima","jDocker","https://github.com/nirima/jDocker.git","test","true","FriOct318:51:262014+0100",123,1,11,12,"f65ef919d8c99dac41f307b25e7145d3c4c770f2","true","true","false",NA,NA
"164","nlighten","wildfly_exporter","https://github.com/nlighten/wildfly_exporter.git","test","true","SunOct611:54:312019+0200",30,1,4,5,"d8a27e9653e106629492a83dbf5049b488ad63db","true","true","false",NA,NA
"165","NLPIE","BioMedICUS","https://github.com/NLPIE/BioMedICUS.git","test","true","ThuMay1617:01:412019-0500",334,1,11,7,"49b56ef17f4dfb2e7200dc8aed4cc816ffa1087b","true","true","true",0,"true"
"166","OA-PASS","pass-authz","https://github.com/OA-PASS/pass-authz.git","test","true","MonNov1116:02:362019-0500",182,1,17,10,"bbe1ced9413c7b7af01ebcf784e0eba126dde110","true","true","false",NA,NA
"167","ontodev","robot","https://github.com/ontodev/robot.git","test","true","WedDec408:54:462019-0500",1269,1,10,31,"7787ce50cefaa00e263588b747ad4c9eb05c0ec3","true","true","true",118,"true"
